price,floors_in_the_house,floor,house_type,number_of_rooms,total_area,deadline,distance_to_nearest_metro,distance_to_center,distance_to_mkad,distance_to_green_areas,distance_to_sports_complexes,distance_to_industrial_enterprises,distance_to_treatment_facilities
75000000,6,5,монолитный ,3-комнатные ,135,-,1100,4497,-11764,1487,722,847,4552
9700000,9,2,монолитный ,3-комнатные ,93.5,сдан ,1600,20461,3083,1982,2207,929,4956
9760200,25,19,панельный ,3-комнатные ,86,сдан ,500,20712,6348,1149,1353,2489,21731
23567824,16,10,монолитный ,3-комнатные ,89.9,-,600,5109,-11205,924,180,1328,4492
9730662,22,21,монолитный ,3-комнатные ,69.1,2 кв. 2022 года ,600,13702,-2843,1130,473,486,7521
9971304,22,13,монолитный ,3-комнатные ,73.2,2 кв. 2022 года ,600,13702,-2843,1130,473,486,7521
125811876,11,5,кирпичный ,3-комнатные ,181.4,сдан ,1000,3492,-11147,494,307,879,4019
16519900,27,8,монолитный ,3-комнатные ,73,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
19130055,27,4,монолитный ,3-комнатные ,90.3,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
14476605,27,13,монолитный ,3-комнатные ,66.3,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
20798130,27,9,монолитный ,3-комнатные ,91.1,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
16029300,27,3,монолитный ,3-комнатные ,71.4,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
20581785,27,15,монолитный ,3-комнатные ,87.9,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
20496465,27,13,монолитный ,3-комнатные ,88.1,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
14474640,11,2,монолитный ,3-комнатные ,73.6,1 кв. 2021 года ,1200,5794,-10936,1306,785,439,7466
10847729,16,9,монолитный ,3-комнатные ,84,4 кв. 2020 года ,1000,20778,3585,2310,2720,1017,4845
9284066,15,15,монолитный ,3-комнатные ,76.6,2 кв. 2020 года ,900,20948,3705,2470,2646,1196,5031
7450000,24,21,монолитный ,3-комнатные ,55,2 кв. 2020 года ,1800,21139,2829,1174,261,3131,6387
17900000,25,23,панельный ,3-комнатные ,92,4 кв. 2020 года ,1300,18079,930,1234,583,372,11158
9429858,25,16,монолитный ,3-комнатные ,89,1 кв. 2022 года ,2200,22547,6719,774,1512,3741,5342
8437394,25,13,монолитный ,3-комнатные ,72.5,1 кв. 2022 года ,2200,22547,6719,774,1512,3741,5342
32000000,16,14,монолитный ,3-комнатные ,107,сдан ,600,7952,-7321,211,856,203,11266
18520000,58,16,монолитный ,3-комнатные ,87,1 кв. 2021 года ,200,6875,-10489,804,1233,558,7273
9713513,25,2,монолитный ,3-комнатные ,97.1,1 кв. 2022 года ,2200,22547,6719,774,1512,3741,5342
10098238,25,9,монолитный ,3-комнатные ,93.4,1 кв. 2022 года ,2200,22547,6719,774,1512,3741,5342
21226510,46,45,монолитный ,3-комнатные ,87.4,сдан ,900,5919,-11007,1222,965,42,7209
32200000,25,11,монолитный ,3-комнатные ,104.6,сдан ,600,6156,-9947,790,130,1367,3990
17111052,22,8,монолитный ,3-комнатные ,75.1,4 кв. 2020 года ,500,10100,-5252,2059,514,1028,11055
125640000,4,3,кирпичный ,3-комнатные ,121,2 кв. 2020 года ,700,1368,-12625,335,825,1475,7771
10488940,22,5,монолитный ,3-комнатные ,77,2 кв. 2022 года ,500,13878,-2664,1027,588,534,7587
12423800,19,5,монолитный ,3-комнатные ,78.6,2 кв. 2020 года ,1400,18468,2846,2590,1115,2844,1521
14318460,8,7,монолитный ,3-комнатные ,84.4,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
13275015,8,8,монолитный ,3-комнатные ,74.1,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
18036870,10,2,монолитный ,3-комнатные ,82.7,4 кв. 2020 года ,400,5728,-8261,498,562,463,12061
21136251,22,10,монолитный ,3-комнатные ,112.1,3 кв. 2020 года ,500,14001,2248,1637,822,1340,7054
13188795,8,2,монолитный ,3-комнатные ,75.3,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
14384370,8,2,монолитный ,3-комнатные ,85.8,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
13989465,22,14,монолитный ,3-комнатные ,80.1,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
13474800,20,3,монолитный ,3-комнатные ,78.8,сдан ,500,11170,-6286,388,1209,825,3821
13563000,22,3,монолитный ,3-комнатные ,79.2,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
14096400,22,9,монолитный ,3-комнатные ,81.6,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
14499210,16,3,монолитный ,3-комнатные ,82.9,сдан ,500,11170,-6286,388,1209,825,3821
13425343,16,2,монолитный ,3-комнатные ,81.8,сдан ,500,11170,-6286,388,1209,825,3821
13686804,16,2,монолитный ,3-комнатные ,85.7,сдан ,500,11170,-6286,388,1209,825,3821
13470860,22,3,монолитный ,3-комнатные ,78.8,3 кв. 2021 года ,1600,11764,-4390,1655,896,1344,6179
56129580,16,13,монолитный ,3-комнатные ,107.9,4 кв. 2021 года ,1300,4346,-11273,609,238,665,7071
23935337,7,7,монолитный ,3-комнатные ,72,сдан ,600,4286,-10661,1211,490,271,10045
11878440,12,2,монолитный ,3-комнатные ,84,2 кв. 2021 года ,1200,11166,-4191,2695,1473,231,10353
26906721,27,24,монолитный ,3-комнатные ,87.8,4 кв. 2021 года ,1200,4347,-11146,681,309,670,7224
19802500,24,14,монолитный ,3-комнатные ,90.2,сдан ,1100,9981,-5766,978,1251,502,4495
41293476,27,27,монолитный ,3-комнатные ,96.4,4 кв. 2021 года ,1200,4347,-11146,681,309,670,7224
13857669,24,16,монолитный ,3-комнатные ,79.8,4 кв. 2020 года ,1200,11210,-4144,2755,1526,281,10289
17441660,23,2,монолитный ,3-комнатные ,73.1,4 кв. 2020 года ,500,5665,-8328,542,648,547,12070
